receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,qbTier,tier,TE_tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0033288,G.Kittle,SF,SF,2024,TE,15,1,0.9031,1,1,1,67.94,8,0.1869,1106,78,0.381,0.298,3.67,8.32,84.828,2.02,0.567,1,0.9807692307692307,0.9038461538461539,1,0.7454545454545455,1,0.5,0.8392857142857143,0.9464285714285714,0.8703703703703703,0.9642857142857143,1,2,6,1,15,1,29,10,4,8,3
00-0030506,T.Kelce,KC,KC,2020,TE,15,1,0.9017,1,1,1,75.22,11,0.2343,1418,105,0.455,0.26,3.15,8.44,74.104,0.87,0.537,1,1,0.9821428571428571,1,0.8070175438596491,0.9298245614035088,0.5689655172413793,0.6206896551724138,0.7413793103448276,0.6842105263157895,0.7758620689655172,1,1,2,1,12,5,26,23,16,19,14
00-0030506,T.Kelce,KC,KC,2018,TE,16,1,0.9016,1,1,1,69.23,10,0.2479,1336,103,0.333,0.265,2.86,8.83,67.413,1.24,0.656,1,0.9795918367346939,1,0.9795918367346939,0.6071428571428571,0.8771929824561403,0.3157894736842105,0.7017543859649122,0.5789473684210527,0.875,0.8245614035087719,1,2,1,2,21,8,40,18,25,8,11
00-0030506,T.Kelce,KC,KC,2016,TE,16,1,0.8947,1,1,1,70.75,4,0.2038,1127,85,0.158,0.271,2.9,7.6,72.409,0.56,0.621,1,0.6041666666666666,0.9375,1,0.25862068965517243,0.9285714285714286,0.6333333333333333,0.4166666666666667,0.8,0.8333333333333334,0.9,1,20,4,1,44,5,23,36,13,11,7
00-0030506,T.Kelce,KC,KC,2022,TE,17,1,0.8902,1,1,1,66.04,12,0.225,1340,110,0.312,0.209,3.04,7.3,75.305,1.34,0.564,1,0.9787234042553191,0.9574468085106383,1,0.5806451612903226,0.7704918032786885,0.26153846153846155,0.5692307692307692,0.7846153846153846,0.875,0.9384615384615385,1,2,3,1,25,15,49,29,15,9,5
00-0030506,T.Kelce,KC,KC,2017,TE,15,1,0.8897,1,1,1,52.57,8,0.2251,1038,83,0.25,0.23,2.89,9.44,68.665,0.68,0.63,0.9836065573770492,0.9433962264150944,1,0.9811320754716981,0.4915254237288136,0.8666666666666667,0.4918032786885246,0.7213114754098361,0.6557377049180327,0.9166666666666666,0.6885245901639344,2,4,1,2,24,9,32,18,22,6,20
00-0033288,G.Kittle,SF,SF,2019,TE,14,1,0.8846,1,1,1,58.12,5,0.256,1053,85,0.118,0.234,3.27,5.88,77.418,1.43,0.529,0.9838709677419355,0.7777777777777778,1,0.9814814814814815,0.15517241379310345,0.819672131147541,0.5967741935483871,0.25806451612903225,0.7903225806451613,0.8387096774193549,0.7903225806451613,2,13,1,2,50,12,26,47,14,11,14
00-0033288,G.Kittle,SF,SF,2023,TE,16,1,0.8798,1,1,1,59.68,6,0.1826,1020,65,0.231,0.289,3.46,8.94,68.722,2.79,0.529,1,0.9285714285714286,0.8928571428571429,0.9642857142857143,0.42105263157894735,1,0.4576271186440678,0.9322033898305084,0.3898305084745763,0.7192982456140351,0.9322033898305084,1,5,7,3,33,1,33,5,37,17,5
00-0030506,T.Kelce,KC,KC,2021,TE,16,1,0.8773,1,1,1,50.8,9,0.1994,1134,92,0.412,0.179,3.29,7.12,71.157,1.36,0.543,0.96875,0.9824561403508771,0.9473684210526315,0.9824561403508771,0.8064516129032258,0.75,0.453125,0.609375,0.6875,0.819672131147541,0.859375,3,2,4,2,13,16,36,26,21,12,10
00-0033288,G.Kittle,SF,SF,2018,TE,16,2,0.8943,1,1,1,65.35,5,0.2379,1379,88,0.095,0.225,3.45,7.33,64.7,2.65,0.517,0.9824561403508771,0.7755102040816326,0.9591836734693877,1,0.25,0.7543859649122807,0.6842105263157895,0.47368421052631576,0.3508771929824561,0.7678571428571429,0.9473684210526315,2,11,3,1,43,15,19,31,38,14,4
00-0027656,R.Gronkowski,NE,NE,2017,TE,14,2,0.8703,1,1,1,74.58,8,0.1978,1086,69,0.261,0.349,2.28,11.52,63.528,0.72,0.64,1,0.9622641509433962,0.9245283018867925,1,0.6271186440677966,0.9833333333333333,0.04918032786885246,0.9344262295081968,0.5081967213114754,0.9333333333333333,0.7540983606557377,1,2,5,1,23,2,59,5,31,5,16
00-0033288,G.Kittle,SF,SF,2022,TE,15,2,0.8681,1,1,1,39.61,11,0.1762,765,60,0.312,0.244,3.26,7.43,73.7,1.55,0.593,0.9692307692307692,1,0.8936170212765957,0.9148936170212766,0.5806451612903226,0.9344262295081968,0.38461538461538464,0.6153846153846154,0.7230769230769231,0.890625,0.9538461538461539,3,1,6,5,26,5,41,26,19,8,4
00-0033288,G.Kittle,SF,SF,2020,TE,8,2,0.8647,1,1,1,36.21,2,0.2169,634,48,0.2,0.203,3.78,6.68,75.675,2.1,0.5,0.9310344827586207,0.5,0.9464285714285714,0.9821428571428571,0.22807017543859648,0.7192982456140351,0.7758620689655172,0.20689655172413793,0.7931034482758621,0.543859649122807,0.9310344827586207,5,25,4,2,43,17,14,47,13,22,5
00-0034753,M.Andrews,BAL,BAL,2021,TE,17,2,0.8641,1,1,1,56.07,9,0.2365,1365,107,0.333,0.209,3.17,10.45,70.798,0.33,0.469,1,0.9298245614035088,1,1,0.5967741935483871,0.8833333333333333,0.40625,0.921875,0.65625,0.639344262295082,0.5625,1,3,1,1,19,8,39,6,23,23,29
00-0030506,T.Kelce,KC,KC,2023,TE,15,2,0.8603,1,1,1,48.02,5,0.2047,991,93,0.25,0.174,3.77,7,78.613,0.28,0.565,0.9830508474576272,0.8571428571428571,0.9642857142857143,1,0.45614035087719296,0.7192982456140351,0.6779661016949152,0.6440677966101694,0.8135593220338984,0.8245614035087719,0.5254237288135594,2,7,3,1,26,17,20,22,12,11,29
00-0030506,T.Kelce,KC,KC,2019,TE,16,2,0.8496,1,1,1,62.74,5,0.2259,1252,97,0.105,0.243,3.07,8.65,73.222,0.89,0.419,1,0.6666666666666666,0.9814814814814815,1,0.1206896551724138,0.8688524590163934,0.41935483870967744,0.6290322580645161,0.6935483870967742,0.45161290322580644,0.6451612903225806,1,16,2,1,52,9,37,24,20,35,23
00-0030472,J.Reed,WAS,WAS,2016,TE,12,2,0.8228,1,1,1,29.79,7,0.1852,686,66,0.333,0.144,3.39,7.89,74.832,0.13,0.519,0.8666666666666667,0.9791666666666666,0.8958333333333334,0.8958333333333334,0.6379310344827587,0.4642857142857143,0.8166666666666667,0.5166666666666667,0.8333333333333334,0.6333333333333333,0.8,9,2,6,6,15,31,12,30,11,23,13
00-0039338,B.Bowers,LV,LV,2024,TE,17,2,0.8159,1,1,1,27.11,6,0.224,1194,112,0.125,0.144,3.32,6.32,73.159,0.92,0.526,0.8214285714285714,0.8269230769230769,0.9615384615384616,0.9615384615384616,0.2909090909090909,0.5555555555555556,0.23214285714285715,0.5357142857142857,0.42857142857142855,0.7962962962962963,0.7857142857142857,11,10,3,3,38,25,44,27,33,12,13
00-0034351,D.Goedert,PHI,PHI,2022,TE,12,3,0.8577,1,1,1,45.19,3,0.17,702,55,0.2,0.319,3.5,5.88,80.187,0.79,0.727,0.9846153846153847,0.6595744680851063,0.851063829787234,0.9787234042553191,0.3387096774193548,0.9672131147540983,0.49230769230769234,0.35384615384615387,0.9076923076923077,0.953125,0.7384615384615385,2,16,8,2,40,3,34,43,7,4,18
00-0031610,D.Waller,LV,LV,2020,TE,16,3,0.851,1,1,1,57.39,9,0.2539,1198,107,0.25,0.178,3,7.93,74.312,0.53,0.595,0.9827586206896551,0.9642857142857143,1,0.9642857142857143,0.3333333333333333,0.5964912280701754,0.43103448275862066,0.5689655172413793,0.7758620689655172,0.7719298245614035,0.5344827586206896,2,3,1,3,35,24,34,26,14,14,28
00-0033288,G.Kittle,SF,SF,2021,TE,14,3,0.8462,1,1,1,24.57,6,0.2057,910,71,0.444,0.245,2.93,8.44,71.625,2.16,0.435,0.859375,0.8421052631578947,0.9649122807017544,0.9473684210526315,0.8548387096774194,0.9166666666666666,0.21875,0.734375,0.703125,0.5409836065573771,0.96875,10,10,3,4,10,6,51,18,20,29,3
00-0033881,E.Engram,NYG,NYG,2018,TE,11,3,0.816,1,1,1,20.56,3,0.1533,579,45,0.375,0.169,4.37,5.32,70.559,2.82,0.375,0.7719298245614035,0.7346938775510204,0.8979591836734694,0.9183673469387755,0.6607142857142857,0.5614035087719298,0.9473684210526315,0.17543859649122806,0.6842105263157895,0.39285714285714285,0.9649122807017544,14,14,6,5,19,26,4,48,19,33,3
00-0037744,T.McBride,ARI,ARI,2024,TE,16,3,0.8138,1,1,1,49.07,2,0.2692,1146,111,0.091,0.143,3.41,6.72,75.974,0.7,0.519,0.9464285714285714,0.4423076923076923,1,0.9807692307692307,0.2,0.5,0.30357142857142855,0.625,0.6071428571428571,0.7592592592592593,0.625,4,28,1,2,45,27,40,22,23,14,22
00-0034753,M.Andrews,BAL,BAL,2023,TE,10,3,0.8122,1,1,1,33.18,6,0.1968,544,45,0.429,0.18,3.02,8.01,75.512,0.12,0.583,0.9491525423728814,1,0.9464285714285714,0.9107142857142857,0.8771929824561403,0.8245614035087719,0.2033898305084746,0.8135593220338984,0.7288135593220338,0.8771929824561403,0.4576271186440678,4,1,4,6,8,11,48,12,17,8,33
00-0030061,Z.Ertz,PHI,PHI,2017,TE,14,3,0.804,1,1,1,26.62,8,0.2115,824,74,0.471,0.136,2.88,7.52,69.281,-0.07,0.481,0.9344262295081968,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.8305084745762712,0.5166666666666667,0.45901639344262296,0.4262295081967213,0.7049180327868853,0.6833333333333333,0.3770491803278688,5,3,3,3,11,30,34,36,19,20,39
00-0027656,R.Gronkowski,NE,NE,2016,TE,8,3,0.8005,1,1,1,35.2,3,0.1362,540,25,0.167,0.368,2.34,13.44,67.659,2.9,0.643,0.9333333333333333,0.7708333333333334,0.625,0.9791666666666666,0.27586206896551724,0.9821428571428571,0.15,0.9833333333333333,0.5333333333333333,0.8833333333333333,1,5,11,19,2,39,2,52,2,29,7,1
00-0032392,A.Hooper,ATL,ATL,2019,TE,13,3,0.7969,1,1,1,25.6,7,0.1701,789,75,0.3,0.162,3.43,6.73,75.913,0.32,0.5,0.8870967741935484,0.9444444444444444,0.9074074074074074,0.9444444444444444,0.5862068965517241,0.5409836065573771,0.6612903225806451,0.4032258064516129,0.7419354838709677,0.6612903225806451,0.43548387096774194,8,4,6,4,24,29,22,38,17,15,36
00-0034351,D.Goedert,PHI,PHI,2021,TE,15,4,0.8456,1,1,1,53.38,4,0.1674,832,56,0.25,0.312,3.44,9.48,75.036,1.46,0.571,0.984375,0.6842105263157895,0.8596491228070176,0.8947368421052632,0.4838709677419355,1,0.578125,0.828125,0.734375,0.8688524590163934,0.890625,2,17,9,7,31,1,28,12,18,9,8
00-0034753,M.Andrews,BAL,BAL,2022,TE,15,4,0.8138,1,1,1,25.19,5,0.2528,849,73,0.263,0.228,3.01,9.82,62.406,0.15,0.5,0.9230769230769231,0.7872340425531915,1,0.9574468085106383,0.46774193548387094,0.9016393442622951,0.23076923076923078,0.8769230769230769,0.36923076923076925,0.75,0.4,6,10,1,3,34,7,51,9,42,14,40
00-0035229,T.Hockenson,MIN,MIN,2023,TE,15,4,0.7965,1,1,1,31.82,5,0.2145,960,95,0.286,0.165,2.96,7.43,74.294,0.04,0.514,0.8813559322033898,0.8571428571428571,0.9821428571428571,0.9821428571428571,0.631578947368421,0.6140350877192983,0.15254237288135594,0.7457627118644068,0.6440677966101694,0.7017543859649122,0.4067796610169492,8,8,2,2,19,23,51,16,22,18,36
00-0034753,M.Andrews,BAL,BAL,2019,TE,15,4,0.7962,1,1,1,46.54,10,0.2212,852,64,0.533,0.224,2.91,10.12,63.39,0.09,0.472,0.9516129032258065,0.9814814814814815,0.9444444444444444,0.9074074074074074,0.9310344827586207,0.8032786885245902,0.3387096774193548,0.8548387096774194,0.41935483870967744,0.6451612903225806,0.3709677419354839,4,1,4,6,5,13,42,10,37,23,40
00-0033858,J.Smith,MIA,MIA,2024,TE,17,4,0.7864,1,1,1,59.71,8,0.1748,884,88,0.389,0.135,3.43,5.35,81.837,0.52,0.542,0.9821428571428571,0.9615384615384616,0.8461538461538461,0.9230769230769231,0.7818181818181819,0.46296296296296297,0.32142857142857145,0.32142857142857145,0.8392857142857143,0.8333333333333334,0.5535714285714286,2,3,9,5,13,30,39,39,10,10,26
00-0024389,D.Walker,TEN,TEN,2016,TE,15,4,0.7858,1,1,1,23.17,7,0.2048,800,65,0.353,0.176,2.85,9.65,64.075,-0.4,0.528,0.7666666666666667,0.9375,0.9583333333333334,0.8541666666666666,0.7758620689655172,0.6428571428571429,0.55,0.75,0.38333333333333336,0.65,0.5833333333333334,15,4,3,8,14,21,28,16,38,22,26
00-0034753,M.Andrews,BAL,BAL,2020,TE,14,4,0.781,1,1,1,36.73,7,0.2211,701,58,0.222,0.148,2.72,10,65.437,-0.22,0.565,0.9482758620689655,0.8928571428571429,0.9642857142857143,0.9464285714285714,0.2982456140350877,0.49122807017543857,0.25862068965517243,0.896551724137931,0.39655172413793105,0.7368421052631579,0.22413793103448276,4,5,3,4,41,30,44,7,36,16,46
00-0033090,H.Henry,LAC,LAC,2017,TE,14,4,0.768,1,1,1,38.94,4,0.1188,579,45,0.25,0.242,2.94,9.69,71.773,0.7,0.562,0.9672131147540983,0.6981132075471698,0.6792452830188679,0.8679245283018868,0.4915254237288136,0.9,0.5901639344262295,0.7540983606557377,0.8032786885245902,0.8333333333333334,0.7049180327868853,3,17,18,8,25,7,26,16,13,11,19
00-0027656,R.Gronkowski,NE,NE,2018,TE,13,4,0.7588,1,1,1,30.96,3,0.1519,682,47,0.125,0.292,2.6,11.98,66.932,0.34,0.455,0.9298245614035088,0.5306122448979592,0.8775510204081632,0.8979591836734694,0.26785714285714285,0.9473684210526315,0.17543859649122806,0.9473684210526315,0.5614035087719298,0.625,0.47368421052631576,5,22,7,6,42,4,48,4,26,22,31
00-0027656,R.Gronkowski,TB,TB,2021,TE,12,5,0.8412,2,2,2,32.71,6,0.1621,802,55,0.417,0.258,3.46,9.53,63.693,1.16,0.556,0.90625,0.8947368421052632,0.8245614035087719,0.9649122807017544,0.8225806451612904,0.9333333333333333,0.625,0.84375,0.453125,0.8360655737704918,0.796875,7,6,11,3,12,5,25,11,36,10,14
00-0039065,S.LaPorta,DET,DET,2023,TE,17,5,0.7908,2,2,2,40.43,10,0.1912,893,86,0.444,0.123,3.22,6.98,72.766,0.63,0.462,0.9661016949152542,0.9821428571428571,0.9107142857142857,0.8928571428571429,0.8947368421052632,0.3333333333333333,0.3050847457627119,0.6271186440677966,0.559322033898305,0.5263157894736842,0.6779661016949152,3,2,6,7,7,39,42,23,27,28,20
00-0030061,Z.Ertz,PHI,PHI,2019,TE,15,5,0.7818,2,2,2,35.26,6,0.223,918,88,0.25,0.132,2.75,8.89,64.381,0.18,0.517,0.9193548387096774,0.8703703703703703,0.9629629629629629,0.9629629629629629,0.41379310344827586,0.29508196721311475,0.24193548387096775,0.6612903225806451,0.45161290322580644,0.8064516129032258,0.4032258064516129,6,7,3,3,29,44,48,22,35,13,38
00-0025418,G.Olsen,CAR,CAR,2016,TE,16,5,0.7799,2,2,2,23.79,5,0.2196,1075,80,0.105,0.189,2.9,11.03,63.409,-0.89,0.432,0.7833333333333333,0.7083333333333334,1,0.9583333333333334,0.10344827586206896,0.7321428571428571,0.6166666666666667,0.9,0.35,0.4,0.26666666666666666,14,14,1,3,52,16,24,7,40,37,45
00-0034351,D.Goedert,PHI,PHI,2024,TE,10,5,0.7791,2,2,2,19.37,2,0.1656,496,42,0.222,0.231,3.96,5.72,82.224,1.14,0.5,0.7142857142857143,0.6538461538461539,0.8076923076923077,0.9038461538461539,0.509090909090909,0.8703703703703703,0.6785714285714286,0.42857142857142855,0.8571428571428571,0.6481481481481481,0.8392857142857143,17,18,11,6,27,8,19,33,9,16,10
00-0033881,E.Engram,JAX,JAX,2022,TE,17,5,0.7626,2,2,2,33.79,4,0.1608,768,73,0.167,0.149,3.41,5.76,74.03,1.11,0.44,0.9538461538461539,0.5957446808510638,0.7659574468085106,0.8723404255319149,0.27419354838709675,0.5081967213114754,0.4307692307692308,0.3230769230769231,0.7538461538461538,0.671875,0.8923076923076924,4,18,12,7,45,31,38,45,17,22,8
00-0031387,E.Ebron,IND,IND,2018,TE,16,5,0.7579,2,2,2,34.17,13,0.1659,750,66,0.524,0.136,3.07,10.26,57.972,0.12,0.484,0.9473684210526315,1,0.9183673469387755,0.8775510204081632,0.8928571428571429,0.2982456140350877,0.40350877192982454,0.8771929824561403,0.12280701754385964,0.6607142857142857,0.3333333333333333,4,1,5,7,7,41,35,8,51,20,39
00-0033110,T.Higbee,LA,LA,2020,TE,15,5,0.7376,2,2,2,35.27,5,0.1052,523,44,0.571,0.213,2.91,8.76,70,2.88,0.875,0.9137931034482759,0.7142857142857143,0.5892857142857143,0.6964285714285714,0.9298245614035088,0.8070175438596491,0.3793103448275862,0.6724137931034483,0.5862068965517241,0.9649122807017544,0.9655172413793104,6,16,24,18,5,12,37,20,25,3,3
00-0028112,C.Clay,BUF,BUF,2017,TE,13,5,0.7223,2,2,2,8.53,2,0.1792,558,49,0.182,0.162,3.11,6.74,61.405,0.2,0.5,0.6229508196721312,0.4528301886792453,0.8867924528301887,0.8867924528301887,0.3559322033898305,0.6,0.6721311475409836,0.3114754098360656,0.4426229508196721,0.7,0.4918032786885246,24,30,7,7,38,25,21,43,35,18,32
00-0038996,T.Kraft,GB,GB,2024,TE,17,6,0.7752,2,2,2,37.25,7,0.1406,709,50,0.375,0.239,4.69,4.59,73.452,2.16,0.333,0.9285714285714286,0.8653846153846154,0.6923076923076923,0.7884615384615384,0.7090909090909091,0.8888888888888888,0.9285714285714286,0.19642857142857142,0.4642857142857143,0.2222222222222222,0.9821428571428571,5,6,17,12,16,7,5,46,31,41,2
00-0034383,D.Schultz,DAL,DAL,2021,TE,17,6,0.772,2,2,2,46.34,9,0.1547,810,78,0.375,0.142,3.56,6.95,77.124,0.29,0.619,0.953125,0.9298245614035088,0.8070175438596491,0.8421052631578947,0.7258064516129032,0.43333333333333335,0.671875,0.5625,0.796875,0.9016393442622951,0.53125,4,4,12,10,16,35,22,29,14,7,31
00-0027061,J.Cook,NO,NO,2019,TE,14,6,0.7693,2,2,2,36.44,9,0.125,705,43,0.5,0.369,2.49,9.39,62.049,2.41,0.45,0.9354838709677419,0.9629629629629629,0.6666666666666666,0.8703703703703703,0.8275862068965517,1,0.12903225806451613,0.7419354838709677,0.3709677419354839,0.5483870967741935,0.9516129032258065,5,3,19,8,6,1,55,17,40,29,4
00-0030061,Z.Ertz,PHI,PHI,2016,TE,14,6,0.7577,2,2,2,26.22,4,0.1837,816,78,0.235,0.16,3.2,8.72,74.273,-0.81,0.435,0.8333333333333334,0.6666666666666666,0.875,0.9375,0.46551724137931033,0.5892857142857143,0.7666666666666667,0.6333333333333333,0.8166666666666667,0.4166666666666667,0.35,11,16,7,4,32,24,15,23,12,36,40
00-0030061,Z.Ertz,PHI,PHI,2018,TE,16,6,0.7572,2,2,2,19.2,8,0.2449,1160,116,0.259,0.179,3.17,7.68,72.168,-0.2,0.436,0.7368421052631579,0.8775510204081632,0.9795918367346939,0.9591836734693877,0.5,0.6140350877192983,0.49122807017543857,0.49122807017543857,0.7368421052631579,0.5892857142857143,0.19298245614035087,16,4,2,3,29,23,30,30,16,24,47
00-0033885,D.Njoku,CLE,CLE,2022,TE,14,6,0.7525,2,2,2,24.66,4,0.1616,628,58,0.2,0.162,3.02,7,71.928,1.04,0.429,0.9076923076923077,0.7021276595744681,0.7872340425531915,0.851063829787234,0.3387096774193548,0.6065573770491803,0.24615384615384617,0.5076923076923077,0.7076923076923077,0.609375,0.8615384615384616,7,15,11,8,41,25,50,33,20,23,10
00-0033881,E.Engram,JAX,JAX,2023,TE,17,6,0.7431,2,2,2,10.25,4,0.2165,963,114,0.273,0.097,3.36,4.69,79.966,0.43,0.485,0.5423728813559322,0.6785714285714286,1,0.9464285714285714,0.5789473684210527,0.21052631578947367,0.3898305084745763,0.15254237288135594,0.847457627118644,0.5964912280701754,0.6271186440677966,28,17,1,4,23,46,37,51,10,24,23
00-0035644,N.Fant,DEN,DEN,2020,TE,15,6,0.7256,2,2,2,11.6,4,0.1664,675,62,0.231,0.16,3.52,6.9,66.925,0.85,0.304,0.5689655172413793,0.5892857142857143,0.8928571428571429,0.875,0.3157894736842105,0.5614035087719298,0.6896551724137931,0.27586206896551724,0.5,0.17543859649122806,0.7586206896551724,26,23,7,8,40,26,19,43,30,47,15
00-0033881,E.Engram,NYG,NYG,2017,TE,15,6,0.7164,2,2,2,4.17,6,0.187,722,64,0.545,0.157,2.75,7.96,58.041,0.26,0.412,0.4918032786885246,0.8679245283018868,0.9056603773584906,0.9245283018867925,0.9661016949152542,0.5833333333333334,0.3770491803278688,0.5245901639344263,0.2786885245901639,0.5333333333333333,0.5245901639344263,32,8,6,5,3,26,39,30,45,29,30
00-0036970,K.Pitts,ATL,ATL,2021,TE,17,7,0.7589,2,2,2,26.33,1,0.1792,1026,68,0.067,0.264,2.34,10.42,61.336,0.9,0.448,0.890625,0.14035087719298245,0.8947368421052632,0.9122807017543859,0.20967741935483872,0.95,0.015625,0.90625,0.359375,0.5737704918032787,0.734375,8,47,7,6,49,4,64,7,42,27,18
00-0027981,K.Rudolph,MIN,MIN,2016,TE,16,7,0.7541,2,2,2,30.53,7,0.2121,840,83,0.231,0.158,2.87,7.32,63.793,-0.88,0.395,0.8833333333333333,0.875,0.9791666666666666,0.8333333333333334,0.4482758620689655,0.5535714285714286,0.5833333333333334,0.31666666666666665,0.36666666666666664,0.3333333333333333,0.2833333333333333,8,7,2,9,33,26,26,42,39,41,44
00-0035229,T.Hockenson,MIN,MIN,2022,TE,10,7,0.7468,2,2,2,6.25,4,0.1977,511,60,0.227,0.122,2.91,7.38,68.514,0.93,0.447,0.6,0.8297872340425532,0.9361702127659575,0.9361702127659575,0.4032258064516129,0.29508196721311475,0.18461538461538463,0.5846153846153846,0.6153846153846154,0.6875,0.7846153846153846,27,8,4,4,37,43,53,27,25,20,14
00-0033879,O.Howard,TB,TB,2018,TE,10,7,0.746,2,2,2,25.57,5,0.1093,565,34,0.571,0.417,2.41,10.2,70.278,1.39,0.4,0.8596491228070176,0.8775510204081632,0.6326530612244898,0.9387755102040817,0.9107142857142857,1,0.08771929824561403,0.8596491228070176,0.6491228070175439,0.4642857142857143,0.8596491228070176,9,3,19,4,6,1,53,9,21,29,9
00-0030506,T.Kelce,KC,KC,2024,TE,16,7,0.7415,2,2,2,20.63,3,0.2165,848,97,0.111,0.127,3.52,6.61,74.92,-0.3,0.647,0.75,0.6346153846153846,0.9423076923076923,0.9423076923076923,0.23636363636363636,0.4074074074074074,0.42857142857142855,0.5892857142857143,0.5357142857142857,0.9074074074074074,0.19642857142857142,15,20,4,4,41,33,33,24,27,6,46
00-0038041,J.Ferguson,DAL,DAL,2023,TE,17,7,0.7412,2,2,2,32.75,5,0.1553,761,71,0.2,0.147,3.29,5.37,69.232,1.24,0.393,0.9322033898305084,0.7857142857142857,0.75,0.8392857142857143,0.3157894736842105,0.5087719298245614,0.3389830508474576,0.3559322033898305,0.4067796610169492,0.3508771929824561,0.8305084745762712,5,12,15,10,37,29,40,39,36,38,11
00-0033090,H.Henry,LAC,LAC,2019,TE,12,7,0.7381,2,2,2,24.54,6,0.1667,654,55,0.308,0.221,2.56,9.99,73.15,-0.25,0.5,0.8709677419354839,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.6206896551724138,0.7868852459016393,0.16129032258064516,0.8387096774193549,0.6774193548387096,0.6612903225806451,0.1935483870967742,9,5,7,7,23,14,53,11,21,16,51
00-0034829,M.Gesicki,MIA,MIA,2020,TE,15,7,0.719,2,2,2,20.42,6,0.1504,703,53,0.312,0.247,1.92,11,64.61,0.49,0.391,0.7586206896551724,0.8214285714285714,0.8035714285714286,0.9107142857142857,0.5263157894736842,0.8771929824561403,0.05172413793103448,0.9655172413793104,0.3793103448275862,0.3333333333333333,0.5,15,10,12,6,28,8,56,3,37,39,30
00-0031273,C.Brate,TB,TB,2017,TE,16,7,0.7109,2,2,2,22.42,6,0.1192,591,48,0.385,0.182,2.38,10.66,64.396,0.43,0.515,0.9180327868852459,0.8301886792452831,0.6981132075471698,0.8301886792452831,0.7966101694915254,0.7166666666666667,0.09836065573770492,0.819672131147541,0.5409836065573771,0.7666666666666667,0.5737704918032787,6,9,17,10,13,18,56,12,29,15,27
00-0031610,D.Waller,LV,LV,2021,TE,11,8,0.7562,2,2,2,12.17,2,0.2095,665,55,0.133,0.183,2.84,10.04,60.816,0.71,0.333,0.71875,0.47368421052631576,0.9824561403508771,0.9298245614035088,0.27419354838709675,0.7666666666666667,0.1875,0.890625,0.34375,0.2459016393442623,0.65625,19,31,2,5,46,15,53,8,43,43,23
00-0027696,J.Graham,SEA,SEA,2016,TE,16,8,0.7538,2,2,2,37.28,6,0.156,923,65,0.2,0.274,2.62,10.32,68.753,-0.49,0.5,0.95,0.7708333333333334,0.7083333333333334,0.9166666666666666,0.3620689655172414,0.9464285714285714,0.38333333333333336,0.8166666666666667,0.5833333333333334,0.5,0.5,4,10,15,5,37,4,38,12,26,26,31
00-0039065,S.LaPorta,DET,DET,2024,TE,16,8,0.7393,2,2,2,31.42,7,0.1512,726,60,0.25,0.193,3.34,7.18,71.798,0.86,0.421,0.875,0.9230769230769231,0.7307692307692307,0.8461538461538461,0.5454545454545454,0.8333333333333334,0.25,0.7142857142857143,0.375,0.5185185185185185,0.7142857142857143,8,5,15,9,23,10,43,17,36,27,17
00-0037744,T.McBride,ARI,ARI,2023,TE,17,8,0.7357,2,2,2,9.8,4,0.1761,825,81,0.273,0.179,3.47,5.7,74.342,0.92,0.476,0.5084745762711864,0.6785714285714286,0.875,0.875,0.5789473684210527,0.8070175438596491,0.4745762711864407,0.3898305084745763,0.6610169491525424,0.5789473684210527,0.7627118644067796,30,18,8,8,24,12,32,37,21,25,15
00-0036894,P.Freiermuth,PIT,PIT,2022,TE,16,8,0.7251,2,2,2,8.89,2,0.1696,732,63,0.154,0.153,2.66,8.08,63.879,1.81,0.406,0.7076923076923077,0.3617021276595745,0.8297872340425532,0.8936170212765957,0.25806451612903225,0.5573770491803278,0.09230769230769231,0.7384615384615385,0.4,0.546875,0.9692307692307692,20,30,9,6,47,28,60,18,40,30,3
00-0033110,T.Higbee,LA,LA,2019,TE,15,8,0.7233,2,2,2,28.7,3,0.1447,734,69,0.158,0.18,3.51,6.55,75.927,0.01,0.444,0.9032258064516129,0.48148148148148145,0.8333333333333334,0.8518518518518519,0.2413793103448276,0.5737704918032787,0.7096774193548387,0.3709677419354839,0.7580645161290323,0.532258064516129,0.3387096774193548,7,28,10,9,45,27,19,40,16,30,42
00-0031387,E.Ebron,DET,DET,2017,TE,16,8,0.7105,2,2,2,8.16,5,0.1385,574,53,0.167,0.128,3.08,7.9,58.02,2.22,0.448,0.6065573770491803,0.71698113207547165,0.7358490566037735,0.8113207547169812,0.2711864406779661,0.45,0.6557377049180327,0.5081967213114754,0.26229508196721313,0.5666666666666667,0.9672131147540983,25,16,15,11,41,34,22,31,46,27,3
